Learning Rate,L2 Penalty,Optimizer,Momentum,Mini_batch,Model,Accuracy
6.660846290809154e-07,0.8529411764705882,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
6.660846290809154e-07,0.9,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
4.7475613789974255e-07,0.1,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
4.7475613789974255e-07,0.14705882352941177,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
4.7475613789974255e-07,0.19411764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
4.7475613789974255e-07,0.2411764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
4.7475613789974255e-07,0.28823529411764703,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
4.7475613789974255e-07,0.33529411764705885,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
4.7475613789974255e-07,0.38235294117647056,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
4.7475613789974255e-07,0.4294117647058824,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
4.7475613789974255e-07,0.4764705882352941,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
4.7475613789974255e-07,0.5235294117647059,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
4.7475613789974255e-07,0.5705882352941176,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
4.7475613789974255e-07,0.6176470588235293,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
4.7475613789974255e-07,0.6647058823529411,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
4.7475613789974255e-07,0.711764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9429824561403509
4.7475613789974255e-07,0.7588235294117647,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
4.7475613789974255e-07,0.8058823529411764,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
4.7475613789974255e-07,0.8529411764705882,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
4.7475613789974255e-07,0.9,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
3.3838551534282333e-07,0.1,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9429824561403509
3.3838551534282333e-07,0.14705882352941177,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
3.3838551534282333e-07,0.19411764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
3.3838551534282333e-07,0.2411764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
3.3838551534282333e-07,0.28823529411764703,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9429824561403509
3.3838551534282333e-07,0.33529411764705885,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
3.3838551534282333e-07,0.38235294117647056,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
3.3838551534282333e-07,0.4294117647058824,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
3.3838551534282333e-07,0.4764705882352941,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
3.3838551534282333e-07,0.5235294117647059,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
3.3838551534282333e-07,0.5705882352941176,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
3.3838551534282333e-07,0.6176470588235293,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
3.3838551534282333e-07,0.6647058823529411,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
3.3838551534282333e-07,0.711764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
3.3838551534282333e-07,0.7588235294117647,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
3.3838551534282333e-07,0.8058823529411764,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
3.3838551534282333e-07,0.8529411764705882,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
3.3838551534282333e-07,0.9,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
2.4118646996409995e-07,0.1,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
2.4118646996409995e-07,0.14705882352941177,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
2.4118646996409995e-07,0.19411764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
2.4118646996409995e-07,0.2411764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
2.4118646996409995e-07,0.28823529411764703,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
2.4118646996409995e-07,0.33529411764705885,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
2.4118646996409995e-07,0.38235294117647056,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
2.4118646996409995e-07,0.4294117647058824,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
2.4118646996409995e-07,0.4764705882352941,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
2.4118646996409995e-07,0.5235294117647059,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
2.4118646996409995e-07,0.5705882352941176,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9429824561403509
2.4118646996409995e-07,0.6176470588235293,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
2.4118646996409995e-07,0.6647058823529411,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
2.4118646996409995e-07,0.711764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
2.4118646996409995e-07,0.7588235294117647,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
2.4118646996409995e-07,0.8058823529411764,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
2.4118646996409995e-07,0.8529411764705882,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
2.4118646996409995e-07,0.9,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
1.7190722018585746e-07,0.1,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
1.7190722018585746e-07,0.14705882352941177,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
1.7190722018585746e-07,0.19411764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
1.7190722018585746e-07,0.2411764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
1.7190722018585746e-07,0.28823529411764703,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
1.7190722018585746e-07,0.33529411764705885,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
1.7190722018585746e-07,0.38235294117647056,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
1.7190722018585746e-07,0.4294117647058824,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
1.7190722018585746e-07,0.4764705882352941,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
1.7190722018585746e-07,0.5235294117647059,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
1.7190722018585746e-07,0.5705882352941176,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
1.7190722018585746e-07,0.6176470588235293,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
1.7190722018585746e-07,0.6647058823529411,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9429824561403509
1.7190722018585746e-07,0.711764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
1.7190722018585746e-07,0.7588235294117647,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9429824561403509
1.7190722018585746e-07,0.8058823529411764,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
1.7190722018585746e-07,0.8529411764705882,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
1.7190722018585746e-07,0.9,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
1.2252798573828638e-07,0.1,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9429824561403509
1.2252798573828638e-07,0.14705882352941177,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
1.2252798573828638e-07,0.19411764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9429824561403509
1.2252798573828638e-07,0.2411764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
1.2252798573828638e-07,0.28823529411764703,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9298245614035088
1.2252798573828638e-07,0.33529411764705885,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
