Learning Rate,L2 Penalty,Optimizer,Model,Activation_function,epochs,Loss,Epoch
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2840691804885864,41.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2831811904907227,42.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2811897993087769,43.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.280621886253357,44.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2791812419891357,45.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2783774137496948,46.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2772575616836548,47.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.276566743850708,48.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2759878635406494,49.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2767271995544434,50.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2754968404769897,51.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2744759321212769,52.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2731400728225708,53.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2727551460266113,54.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2722077369689941,55.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2718067169189453,56.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2715615034103394,57.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2712998390197754,58.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.271937370300293,59.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2713191509246826,60.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2709311246871948,61.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2699780464172363,62.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.269270420074463,63.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2691905498504639,64.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2685848474502563,65.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2685024738311768,66.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2688816785812378,67.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.267794132232666,68.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.267680048942566,69.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.267044186592102,70.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2673404216766357,71.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2670789957046509,72.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2663905620574951,73.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2664507627487183,74.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2663075923919678,75.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2657017707824707,76.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2662725448608398,77.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2662580013275146,78.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2650935649871826,79.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.265182614326477,80.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2648605108261108,81.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2653671503067017,82.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2647088766098022,83.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2648550271987915,84.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.265023946762085,85.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2639962434768677,86.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2638273239135742,87.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2638787031173706,88.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2657757997512817,89.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2635172605514526,90.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2631102800369263,91.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2633392810821533,92.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2633259296417236,93.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2627607583999634,94.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.262986183166504,95.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.262865424156189,96.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.2627946138381958,97.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.26224684715271,98.0
0.01,0.8,SGD,Neural_Network,leaky_relu,,1.262331485748291,99.0
0.01,0.8,SGD,Neural_Network,tanh,,1.6948275566101074,0.0
0.01,0.8,SGD,Neural_Network,tanh,,1.5593035221099854,1.0
0.01,0.8,SGD,Neural_Network,tanh,,1.4801077842712402,2.0
0.01,0.8,SGD,Neural_Network,tanh,,1.422287940979004,3.0
0.01,0.8,SGD,Neural_Network,tanh,,1.3846110105514526,4.0
0.01,0.8,SGD,Neural_Network,tanh,,1.3490945100784302,5.0
0.01,0.8,SGD,Neural_Network,tanh,,1.3471759557724,6.0
0.01,0.8,SGD,Neural_Network,tanh,,1.3156715631484985,7.0
0.01,0.8,SGD,Neural_Network,tanh,,1.3042097091674805,8.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2867753505706787,9.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2996598482131958,10.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2795498371124268,11.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2791674137115479,12.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2996478080749512,13.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2732287645339966,14.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2683526277542114,15.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2627955675125122,16.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2790693044662476,17.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2594959735870361,18.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2680374383926392,19.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2627346515655518,20.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2598985433578491,21.0
0.01,0.8,SGD,Neural_Network,tanh,,1.261809229850769,22.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2565416097640991,23.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2552626132965088,24.0
0.01,0.8,SGD,Neural_Network,tanh,,1.258601188659668,25.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2544153928756714,26.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2657482624053955,27.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2547857761383057,28.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2607653141021729,29.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2570723295211792,30.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2547385692596436,31.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2537788152694702,32.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2546466588974,33.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2535626888275146,34.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2546218633651733,35.0
0.01,0.8,SGD,Neural_Network,tanh,,1.252044677734375,36.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2566473484039307,37.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2502453327178955,38.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2504441738128662,39.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2499160766601562,40.0
0.01,0.8,SGD,Neural_Network,tanh,,1.25049889087677,41.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2494854927062988,42.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2490314245224,43.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2500441074371338,44.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2488380670547485,45.0
0.01,0.8,SGD,Neural_Network,tanh,,1.248583436012268,46.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2484298944473267,47.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2507864236831665,48.0
0.01,0.8,SGD,Neural_Network,tanh,,1.250288486480713,49.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2528358697891235,50.0
0.01,0.8,SGD,Neural_Network,tanh,,1.2483100891113281,51.0
0.01,0.8,SGD,Neural_Network,tanh,,1.248975396156311,52.0
