Learning Rate,L2 Penalty,Optimizer,Model,Momentum,Mini_batch,Loss,Epoch
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.43296191096305847,50.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.4329551160335541,51.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.4329489469528198,52.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.43294355273246765,53.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.43293872475624084,54.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.4329345226287842,55.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.43293097615242004,56.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.43292802572250366,57.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.43292564153671265,58.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.43292364478111267,59.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.4329221546649933,60.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.43292105197906494,61.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.43292027711868286,62.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.43291980028152466,63.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.4329194724559784,64.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.43291932344436646,65.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.432919442653656,66.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.4329194724559784,67.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.4329197108745575,68.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.43291983008384705,69.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.4329201281070709,70.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.43292033672332764,71.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.43292054533958435,72.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.4329207241535187,73.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.432920902967453,74.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.43292105197906494,75.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.4329211711883545,76.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.4329211413860321,77.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.4329211413860321,78.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.4329211711883545,79.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.43292105197906494,80.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.43292102217674255,81.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.4329209327697754,82.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.43292081356048584,83.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.4329206943511963,84.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.43292057514190674,85.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.43292054533958435,86.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.43292030692100525,87.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.4329202175140381,88.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.4329201281070709,89.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.432919979095459,90.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.4329199194908142,91.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.43291977047920227,92.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.4329197108745575,93.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.43291962146759033,94.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.43291962146759033,95.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.4329195022583008,96.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.4329195022583008,97.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.432919442653656,98.0
0.01,0.4,GD,Regression,Momentum: True,Mini-Batch: False,0.4329194724559784,99.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4406875669956207,0.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.44055649638175964,1.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4404277205467224,2.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4403010904788971,3.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.4401765763759613,4.0
0.01,0.4,SGD,Regression,Momentum: False,Mini-Batch: True,0.44005417823791504,5.0
